trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
415	1	1	0	0	-1.75	0	330	80	4	1
416	1	1	0	0	-1.75	0	210	80	24	1
417	1	1	0	0	-1.75	0	210	80	24	1
418	1	1	0	0	-1.75	0	330	80	24	1
419	1	1	0	0	-1.75	0	90	80	4	1
420	1	1	0	0	-1.75	0	90	80	4	1
421	1	1	0	0	-1.75	0	210	80	24	1
422	1	1	0	0	-1.75	0	330	80	4	1
423	1	1	0	0	-1.75	0	330	80	4	1
424	1	1	0	0	-1.75	0	90	80	4	1
425	1	1	0	0	-1.75	0	210	80	24	1
426	1	1	0	0	-1.75	0	90	80	4	1
427	1	1	0	0	-1.75	0	330	80	24	1
428	1	1	0	0	-1.75	0	210	80	24	1
429	1	1	0	0	-1.75	0	210	80	24	1
430	1	1	0	0	-1.75	0	330	80	24	1
431	1	1	0	0	-1.75	0	90	80	4	1
432	1	1	0	0	-1.75	0	330	80	4	1
433	1	1	0	0	-1.75	0	210	80	24	1
434	1	1	0	0	-1.75	0	90	80	4	1
435	1	1	0	0	-1.75	0	210	80	24	1
436	1	1	0	0	-1.75	0	330	80	24	1
437	1	1	0	0	-1.75	0	90	80	4	1
438	1	1	0	0	-1.75	0	210	80	24	1
439	1	1	0	0	-1.75	0	330	80	4	1
440	1	1	0	0	-1.75	0	90	80	4	1
441	1	1	0	0	-1.75	0	330	80	4	1
442	1	1	0	0	-1.75	0	210	80	24	1
443	1	1	0	0	-1.75	0	90	80	4	1
444	1	1	0	0	-1.75	0	210	80	24	1
445	1	1	0	0	-1.75	0	330	80	24	1
446	1	1	0	0	-1.75	0	90	80	4	1
447	1	1	0	0	-1.75	0	210	80	24	1
448	1	1	0	0	-1.75	0	330	80	4	1
449	1	1	0	0	-1.75	0	90	80	4	1
450	1	1	0	0	-1.75	0	330	80	24	1
451	1	1	0	0	-1.75	0	90	80	4	1
452	1	1	0	0	-1.75	0	210	80	24	1
453	1	1	0	0	-1.75	0	210	80	24	1
454	1	1	0	0	-1.75	0	330	80	24	1
455	1	1	0	0	-1.75	0	90	80	4	1
456	1	1	0	0	-1.75	0	90	80	4	1
457	1	1	0	0	-1.75	0	210	80	24	1
458	1	1	0	0	-1.75	0	330	80	4	1
459	1	1	0	0	-1.75	0	330	80	4	1
460	1	1	0	0	-1.75	0	90	80	4	1
461	1	1	0	0	-1.75	0	210	80	24	1
462	1	1	0	0	-1.75	0	330	80	24	1
463	1	1	0	0	-1.75	0	210	80	24	1
464	1	1	0	0	-1.75	0	90	80	4	1
465	1	1	0	0	-1.75	0	330	80	4	1
466	1	1	0	0	-1.75	0	210	80	24	1
467	1	1	0	0	-1.75	0	90	80	4	1
468	1	1	0	0	-1.75	0	210	80	24	1
469	1	1	0	0	-1.75	0	330	80	24	1
470	1	1	0	0	-1.75	0	90	80	4	1
471	1	1	0	0	-1.75	0	330	80	24	1
472	1	1	0	0	-1.75	0	210	80	24	1
473	1	1	0	0	-1.75	0	90	80	4	1
474	1	1	0	0	-1.75	0	210	80	24	1
475	1	1	0	0	-1.75	0	90	80	4	1
