trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
373	1	1	0	0	-1.75	0	200	80	24	1
374	0	0	0	0	0	0	200	80	24	1
375	0	0	0	0	0	0	80	80	4	1
376	1	1	0	0	1.75	0	80	80	4	1
377	0	0	0	0	0	0	80	80	4	1
378	0	0	0	0	0	0	320	80	24	1
379	1	1	0	0	1.75	0	320	80	24	1
380	0	0	0	0	0	0	320	80	24	1
381	0	0	0	0	0	0	320	80	24	1
382	1	1	0	0	-1.75	0	320	80	24	1
383	0	0	0	0	0	0	320	80	24	1
384	0	0	0	0	0	0	200	80	24	1
385	1	1	0	0	1.75	0	200	80	24	1
386	0	0	0	0	0	0	200	80	24	1
387	0	0	0	0	0	0	80	80	4	1
388	1	1	0	0	-1.75	0	80	80	4	1
389	0	0	0	0	0	0	80	80	4	1
390	0	0	0	0	0	0	320	80	4	1
391	1	1	0	0	1.75	0	320	80	4	1
392	0	0	0	0	0	0	320	80	4	1
393	0	0	0	0	0	0	200	80	24	1
394	1	1	0	0	-1.75	0	200	80	24	1
395	0	0	0	0	0	0	200	80	24	1
396	0	0	0	0	0	0	80	80	4	1
397	1	1	0	0	1.75	0	80	80	4	1
398	0	0	0	0	0	0	80	80	4	1
399	0	0	0	0	0	0	320	80	4	1
400	1	1	0	0	-1.75	0	320	80	4	1
401	0	0	0	0	0	0	320	80	4	1
402	0	0	0	0	0	0	80	80	4	1
403	1	1	0	0	1.75	0	80	80	4	1
404	0	0	0	0	0	0	80	80	4	1
405	0	0	0	0	0	0	200	80	24	1
406	1	1	0	0	1.75	0	200	80	24	1
407	0	0	0	0	0	0	200	80	24	1
408	0	0	0	0	0	0	80	80	4	1
409	1	1	0	0	-1.75	0	80	80	4	1
410	0	0	0	0	0	0	80	80	4	1
411	0	0	0	0	0	0	200	80	24	1
412	1	1	0	0	-1.75	0	200	80	24	1
413	0	0	0	0	0	0	200	80	24	1
414	0	0	0	0	0	0	320	80	24	1
415	1	1	0	0	1.75	0	320	80	24	1
416	0	0	0	0	0	0	320	80	24	1
417	0	0	0	0	0	0	80	80	4	1
418	1	1	0	0	-1.75	0	80	80	4	1
419	0	0	0	0	0	0	80	80	4	1
420	0	0	0	0	0	0	320	80	24	1
421	1	1	0	0	1.75	0	320	80	24	1
422	0	0	0	0	0	0	320	80	24	1
423	0	0	0	0	0	0	200	80	24	1
424	1	1	0	0	1.75	0	200	80	24	1
425	0	0	0	0	0	0	200	80	24	1
426	0	0	0	0	0	0	80	80	4	1
427	1	1	0	0	-1.75	0	80	80	4	1
428	0	0	0	0	0	0	80	80	4	1
429	0	0	0	0	0	0	320	80	4	1
430	1	1	0	0	1.75	0	320	80	4	1
431	0	0	0	0	0	0	320	80	4	1
432	0	0	0	0	0	0	200	80	24	1
433	1	1	0	0	1.75	0	200	80	24	1
434	0	0	0	0	0	0	200	80	24	1
435	0	0	0	0	0	0	320	80	24	1
436	1	1	0	0	-1.75	0	320	80	24	1
437	0	0	0	0	0	0	320	80	24	1
438	0	0	0	0	0	0	80	80	4	1
439	1	1	0	0	1.75	0	80	80	4	1
440	0	0	0	0	0	0	80	80	4	1
441	0	0	0	0	0	0	200	80	24	1
442	1	1	0	0	-1.75	0	200	80	24	1
443	0	0	0	0	0	0	200	80	24	1
444	0	0	0	0	0	0	80	80	4	1
445	1	1	0	0	1.75	0	80	80	4	1
446	0	0	0	0	0	0	80	80	4	1
447	0	0	0	0	0	0	200	80	24	1
448	1	1	0	0	-1.75	0	200	80	24	1
449	0	0	0	0	0	0	200	80	24	1
450	0	0	0	0	0	0	320	80	4	1
451	1	1	0	0	-1.75	0	320	80	4	1
452	0	0	0	0	0	0	320	80	4	1
453	0	0	0	0	0	0	320	80	4	1
454	1	1	0	0	1.75	0	320	80	4	1
455	0	0	0	0	0	0	320	80	4	1
456	0	0	0	0	0	0	80	80	4	1
457	1	1	0	0	1.75	0	80	80	4	1
458	0	0	0	0	0	0	80	80	4	1
459	0	0	0	0	0	0	200	80	24	1
460	1	1	0	0	-1.75	0	200	80	24	1
461	0	0	0	0	0	0	200	80	24	1
462	0	0	0	0	0	0	80	80	4	1
463	1	1	0	0	1.75	0	80	80	4	1
464	0	0	0	0	0	0	80	80	4	1
465	0	0	0	0	0	0	200	80	24	1
466	1	1	0	0	-1.75	0	200	80	24	1
467	0	0	0	0	0	0	200	80	24	1
468	0	0	0	0	0	0	320	80	24	1
469	1	1	0	0	1.75	0	320	80	24	1
470	0	0	0	0	0	0	320	80	24	1
471	0	0	0	0	0	0	80	80	4	1
472	1	1	0	0	-1.75	0	80	80	4	1
473	0	0	0	0	0	0	80	80	4	1
474	0	0	0	0	0	0	200	80	24	1
475	1	1	0	0	1.75	0	200	80	24	1
476	0	0	0	0	0	0	200	80	24	1
477	0	0	0	0	0	0	320	80	24	1
478	1	1	0	0	-1.75	0	320	80	24	1
479	0	0	0	0	0	0	320	80	24	1
480	0	0	0	0	0	0	200	80	24	1
481	1	1	0	0	1.75	0	200	80	24	1
482	0	0	0	0	0	0	200	80	24	1
483	0	0	0	0	0	0	320	80	4	1
484	1	1	0	0	-1.75	0	320	80	4	1
485	0	0	0	0	0	0	320	80	4	1
486	0	0	0	0	0	0	80	80	4	1
487	1	1	0	0	-1.75	0	80	80	4	1
488	0	0	0	0	0	0	80	80	4	1
489	0	0	0	0	0	0	320	80	24	1
490	1	1	0	0	1.75	0	320	80	24	1
491	0	0	0	0	0	0	320	80	24	1
492	0	0	0	0	0	0	80	80	4	1
493	1	1	0	0	-1.75	0	80	80	4	1
494	0	0	0	0	0	0	80	80	4	1
495	0	0	0	0	0	0	200	80	24	1
496	1	1	0	0	-1.75	0	200	80	24	1
497	0	0	0	0	0	0	200	80	24	1
498	0	0	0	0	0	0	200	80	24	1
499	1	1	0	0	1.75	0	200	80	24	1
500	0	0	0	0	0	0	200	80	24	1
501	0	0	0	0	0	0	80	80	4	1
502	1	1	0	0	1.75	0	80	80	4	1
503	0	0	0	0	0	0	80	80	4	1
504	0	0	0	0	0	0	320	80	24	1
505	1	1	0	0	-1.75	0	320	80	24	1
506	0	0	0	0	0	0	320	80	24	1
507	0	0	0	0	0	0	200	80	24	1
508	1	1	0	0	1.75	0	200	80	24	1
509	0	0	0	0	0	0	200	80	24	1
510	0	0	0	0	0	0	80	80	4	1
511	1	1	0	0	-1.75	0	80	80	4	1
512	0	0	0	0	0	0	80	80	4	1
513	0	0	0	0	0	0	320	80	4	1
514	1	1	0	0	1.75	0	320	80	4	1
515	0	0	0	0	0	0	320	80	4	1
516	0	0	0	0	0	0	320	80	4	1
517	1	1	0	0	-1.75	0	320	80	4	1
518	0	0	0	0	0	0	320	80	4	1
519	0	0	0	0	0	0	200	80	24	1
520	1	1	0	0	-1.75	0	200	80	24	1
521	0	0	0	0	0	0	200	80	24	1
522	0	0	0	0	0	0	80	80	4	1
523	1	1	0	0	1.75	0	80	80	4	1
524	0	0	0	0	0	0	80	80	4	1
525	0	0	0	0	0	0	320	80	24	1
526	1	1	0	0	-1.75	0	320	80	24	1
527	0	0	0	0	0	0	320	80	24	1
528	0	0	0	0	0	0	80	80	4	1
529	1	1	0	0	1.75	0	80	80	4	1
530	0	0	0	0	0	0	80	80	4	1
531	0	0	0	0	0	0	200	80	24	1
532	1	1	0	0	-1.75	0	200	80	24	1
533	0	0	0	0	0	0	200	80	24	1
534	0	0	0	0	0	0	80	80	4	1
535	1	1	0	0	-1.75	0	80	80	4	1
536	0	0	0	0	0	0	80	80	4	1
537	0	0	0	0	0	0	320	80	4	1
538	1	1	0	0	1.75	0	320	80	4	1
539	0	0	0	0	0	0	320	80	4	1
540	0	0	0	0	0	0	200	80	24	1
541	1	1	0	0	1.75	0	200	80	24	1
542	0	0	0	0	0	0	200	80	24	1
543	0	0	0	0	0	0	80	80	4	1
544	1	1	0	0	-1.75	0	80	80	4	1
545	0	0	0	0	0	0	80	80	4	1
546	0	0	0	0	0	0	320	80	24	1
547	1	1	0	0	1.75	0	320	80	24	1
548	0	0	0	0	0	0	320	80	24	1
549	0	0	0	0	0	0	200	80	24	1
550	1	1	0	0	-1.75	0	200	80	24	1
551	0	0	0	0	0	0	200	80	24	1
552	0	0	0	0	0	0	80	80	4	1
553	1	1	0	0	1.75	0	80	80	4	1
554	0	0	0	0	0	0	80	80	4	1
555	0	0	0	0	0	0	200	80	24	1
556	1	1	0	0	1.75	0	200	80	24	1
557	0	0	0	0	0	0	200	80	24	1
558	0	0	0	0	0	0	320	80	4	1
559	1	1	0	0	-1.75	0	320	80	4	1
560	0	0	0	0	0	0	320	80	4	1
561	0	0	0	0	0	0	80	80	4	1
562	1	1	0	0	-1.75	0	80	80	4	1
563	0	0	0	0	0	0	80	80	4	1
564	0	0	0	0	0	0	200	80	24	1
565	1	1	0	0	1.75	0	200	80	24	1
566	0	0	0	0	0	0	200	80	24	1
567	0	0	0	0	0	0	320	80	24	1
568	1	1	0	0	-1.75	0	320	80	24	1
569	0	0	0	0	0	0	320	80	24	1
570	0	0	0	0	0	0	80	80	4	1
571	1	1	0	0	-1.75	0	80	80	4	1
572	0	0	0	0	0	0	80	80	4	1
573	0	0	0	0	0	0	200	80	24	1
574	1	1	0	0	1.75	0	200	80	24	1
575	0	0	0	0	0	0	200	80	24	1
576	0	0	0	0	0	0	320	80	24	1
577	1	1	0	0	1.75	0	320	80	24	1
578	0	0	0	0	0	0	320	80	24	1
579	0	0	0	0	0	0	200	80	24	1
580	1	1	0	0	-1.75	0	200	80	24	1
581	0	0	0	0	0	0	200	80	24	1
582	0	0	0	0	0	0	80	80	4	1
583	1	1	0	0	1.75	0	80	80	4	1
584	0	0	0	0	0	0	80	80	4	1
585	0	0	0	0	0	0	320	80	4	1
586	1	1	0	0	-1.75	0	320	80	4	1
587	0	0	0	0	0	0	320	80	4	1
588	0	0	0	0	0	0	80	80	4	1
589	1	1	0	0	1.75	0	80	80	4	1
590	0	0	0	0	0	0	80	80	4	1
591	0	0	0	0	0	0	200	80	24	1
592	1	1	0	0	-1.75	0	200	80	24	1
593	0	0	0	0	0	0	200	80	24	1
594	0	0	0	0	0	0	320	80	4	1
595	1	1	0	0	1.75	0	320	80	4	1
596	0	0	0	0	0	0	320	80	4	1
597	0	0	0	0	0	0	80	80	4	1
598	1	1	0	0	-1.75	0	80	80	4	1
599	0	0	0	0	0	0	80	80	4	1
600	0	0	0	0	0	0	200	80	24	1
601	1	1	0	0	1.75	0	200	80	24	1
602	0	0	0	0	0	0	200	80	24	1
